iter	Passed	Remaining
0	928	1855407
1	1027	1026125
2	1105	736178
3	1226	612189
4	1300	518977
5	1399	465170
6	1490	424392
7	1554	387017
8	1614	357062
9	1674	333207
10	1747	315921
11	1807	299387
12	1869	285780
13	1931	274020
14	2006	265573
15	2066	256301
16	2126	248050
17	2195	241750
18	2273	237029
19	2334	231087
20	2398	226067
21	2458	221068
22	2537	218084
23	2596	213801
24	2656	209824
25	2719	206501
26	2792	204048
27	2851	200837
28	2909	197751
29	2969	194975
30	3046	193509
31	3109	191211
32	3173	189166
33	3254	188214
34	3322	186507
35	3380	184437
36	3450	183050
37	3528	182168
38	3589	180497
39	3653	179042
40	3712	177384
41	3788	176602
42	3848	175157
43	3908	173739
44	3970	172476
45	4035	171421
46	4114	170980
47	4178	169921
48	4237	168707
49	4311	168143
50	4366	166858
51	4423	165728
52	4482	164656
53	4548	163914
54	4615	163234
55	4670	162132
56	4733	161361
57	4802	160810
58	4861	159934
59	4917	159003
60	4977	158215
61	5058	158106
62	5117	157344
63	5173	156503
64	5231	155742
65	5329	156165
66	5389	155491
67	5449	154840
68	5521	154517
69	5594	154235
70	5649	153504
71	5709	152877
72	5765	152195
73	5833	151826
74	5897	151365
75	5961	150920
76	6021	150370
77	6092	150121
78	6150	149550
79	6210	149052
80	6271	148587
81	6335	148189
82	6398	147783
83	6462	147411
84	6524	146992
85	6597	146841
86	6656	146372
87	6714	145896
88	6776	145493
89	6846	145291
90	6904	144833
91	6962	144389
92	7019	143946
93	7083	143636
94	7153	143437
95	7214	143089
96	7274	142722
97	7347	142607
98	7405	142208
99	7467	141890
100	7526	141519
101	7596	141354
102	7658	141055
103	7717	140703
104	7776	140349
105	7842	140136
106	7913	140008
107	7980	139801
108	8036	139423
109	8107	139299
110	8167	138992
111	8225	138656
112	8290	138449
113	8355	138231
114	8414	137922
115	8471	137587
116	8527	137234
117	8580	136851
118	8636	136510
119	8693	136190
120	8755	135964
121	8815	135695
122	8876	135455
123	8930	135104
124	8995	134934
125	9063	134800
126	9118	134482
127	9182	134292
128	9242	134050
129	9308	133901
130	9369	133676
131	9432	133481
132	9493	133261
133	9557	133095
134	9618	132878
135	9676	132620
136	9731	132328
137	9791	132112
138	9847	131839
139	9911	131675
140	9964	131380
141	10035	131303
142	10099	131150
143	10164	131012
144	10227	130840
145	10296	130753
146	10356	130554
147	10416	130350
148	10478	130170
149	10539	129990
150	10599	129793
151	10661	129624
152	10722	129440
153	10781	129235
154	10843	129077
155	10900	128853
156	10954	128595
157	11016	128432
158	11079	128279
159	11140	128111
160	11206	128002
161	11272	127894
162	11327	127663
163	11390	127516
164	11445	127284
165	11512	127196
166	11574	127043
167	11635	126885
168	11700	126768
169	11773	126742
170	11839	126635
171	11896	126436
172	11954	126244
173	12024	126192
174	12082	126007
175	12148	125907
176	12208	125742
177	12276	125657
178	12335	125495
179	12402	125401
180	12460	125221
181	12531	125178
182	12596	125073
183	12654	124889
184	12708	124683
185	12773	124577
186	12828	124379
187	12885	124197
188	12946	124057
189	13014	123979
190	13079	123875
191	13138	123716
192	13212	123701
193	13278	123613
194	13343	123513
195	13406	123398
196	13472	123307
197	13558	123391
198	13626	123324
199	13688	123200
200	13753	123096
201	13827	123074
202	13895	123007
203	13957	122879
204	14018	122746
205	14086	122677
206	14143	122509
207	14201	122347
208	14257	122182
209	14324	122097
210	14383	121954
211	14448	121859
212	14511	121747
213	14581	121694
214	14635	121510
215	14694	121363
216	14753	121219
217	14816	121117
218	14879	121008
219	14940	120882
220	14996	120721
221	15054	120573
222	15122	120507
223	15186	120408
224	15247	120284
225	15318	120240
226	15381	120134
227	15437	119981
228	15495	119837
229	15558	119736
230	15617	119598
231	15673	119445
232	15728	119281
233	15796	119217
234	15857	119098
235	15917	118980
236	15980	118877
237	16049	118816
238	16107	118684
239	16172	118601
240	16243	118558
241	16311	118496
242	16393	118532
243	16467	118510
244	16523	118359
245	16602	118379
246	16664	118268
247	16732	118208
248	16816	118256
249	16871	118100
250	16959	118174
251	17029	118123
252	17085	117978
253	17172	118043
254	17243	118002
255	17313	117946
256	17404	118036
257	17472	117970
258	17549	117967
259	17621	117926
260	17680	117805
261	17763	117836
262	17833	117782
263	17902	117720
264	17976	117693
265	18041	117607
266	18108	117536
267	18191	117562
268	18267	117550
269	18332	117461
270	18407	117442
271	18467	117324
272	18524	117187
273	18607	117213
274	18675	117144
275	18749	117115
276	18812	117015
277	18877	116933
278	18958	116946
279	19038	116953
280	19109	116898
281	19204	116996
282	19265	116887
283	19323	116756
284	19400	116743
285	19480	116747
286	19551	116694
287	19623	116651
288	19708	116683
289	19775	116608
290	19850	116578
291	19922	116532
292	20001	116525
293	20065	116436
294	20138	116392
295	20199	116285
296	20279	116281
297	20348	116217
298	20420	116173
299	20499	116163
300	20600	116279
301	20673	116239
302	20735	116134
303	20816	116134
304	20886	116075
305	20966	116066
306	21025	115950
307	21097	115897
308	21174	115879
309	21238	115782
310	21299	115673
311	21368	115609
312	21433	115521
313	21494	115414
314	21549	115271
315	21613	115180
316	21668	115039
317	21730	114939
318	21785	114799
319	21846	114695
320	21911	114611
321	21978	114534
322	22034	114400
323	22106	114353
324	22172	114272
325	22231	114159
326	22288	114035
327	22357	113967
328	22418	113863
329	22475	113737
330	22532	113616
331	22598	113536
332	22686	113567
333	22740	113430
334	22795	113295
335	22860	113215
336	22924	113125
337	22982	113009
338	23041	112898
339	23105	112810
340	23171	112731
341	23243	112685
342	23315	112633
343	23378	112540
344	23434	112419
345	23501	112346
346	23565	112259
347	23635	112199
348	23716	112196
349	23788	112146
350	23854	112066
351	23912	111956
352	23994	111950
353	24085	111988
354	24148	111898
355	24215	111824
356	24299	111831
357	24372	111786
358	24433	111685
359	24500	111614
360	24584	111619
361	24653	111555
362	24718	111473
363	24780	111375
364	24845	111292
365	24904	111184
366	24958	111053
367	25020	110958
368	25085	110878
369	25154	110815
370	25208	110688
371	25265	110569
372	25340	110534
373	25403	110443
374	25464	110346
375	25531	110274
376	25595	110189
377	25651	110071
378	25733	110063
379	25817	110063
380	25892	110024
381	25948	109906
382	26025	109877
383	26109	109877
384	26171	109782
385	26243	109733
386	26313	109674
387	26384	109619
388	26441	109504
389	26508	109433
390	26582	109388
391	26674	109420
392	26735	109321
393	26801	109247
394	26862	109151
395	26934	109099
396	27026	109127
397	27095	109064
398	27162	108990
399	27218	108872
400	27290	108823
401	27349	108718
402	27408	108613
403	27464	108497
404	27535	108442
405	27614	108416
406	27675	108322
407	27734	108217
408	27800	108143
409	27860	108044
410	27916	107929
411	27974	107825
412	28038	107740
413	28104	107666
414	28164	107569
415	28223	107467
416	28291	107399
417	28373	107384
418	28435	107295
419	28493	107188
420	28565	107136
421	28625	107039
422	28698	106992
423	28758	106894
424	28829	106838
425	28886	106730
426	28945	106630
427	29002	106522
428	29074	106470
429	29140	106397
